93 expiries: 2024-10-03 -> 2026-07-07
2024-10-03: lot=25 need=70 fetched=0 missing=0
2024-10-10: lot=25 need=60 fetched=0 missing=0
2024-10-17: lot=25 need=48 fetched=0 missing=0
2024-10-24: lot=25 need=54 fetched=0 missing=0
2024-10-31: lot=25 need=44 fetched=0 missing=0
2024-11-07: lot=25 need=56 fetched=0 missing=0
2024-11-14: lot=25 need=62 fetched=0 missing=0
2024-11-21: lot=25 need=48 fetched=0 missing=0
2024-11-28: lot=25 need=68 fetched=0 missing=0
2024-12-05: lot=25 need=66 fetched=0 missing=0
2024-12-12: lot=25 need=38 fetched=0 missing=0
2024-12-19: lot=25 need=64 fetched=0 missing=0
2024-12-26: lot=25 need=50 fetched=0 missing=0
2025-01-02: lot=75 need=58 fetched=0 missing=0
2025-01-09: lot=75 need=56 fetched=0 missing=0
2025-01-16: lot=75 need=50 fetched=0 missing=0
2025-01-23: lot=75 need=46 fetched=0 missing=0
2025-01-30: lot=25 need=50 fetched=0 missing=0
2025-02-06: lot=75 need=52 fetched=0 missing=0
2025-02-13: lot=75 need=64 fetched=0 missing=0
2025-02-20: lot=75 need=44 fetched=0 missing=0
2025-02-27: lot=75 need=44 fetched=0 missing=0
2025-03-06: lot=75 need=52 fetched=0 missing=0
2025-03-13: lot=75 need=42 fetched=0 missing=0
2025-03-20: lot=75 need=62 fetched=10 missing=0
2025-03-27: lot=75 need=58 fetched=58 missing=0
2025-04-03: lot=75 need=48 fetched=48 missing=0
2025-04-09: lot=75 need=88 fetched=88 missing=0
2025-04-17: lot=75 need=76 fetched=76 missing=0
2025-04-24: lot=75 need=46 fetched=46 missing=0
2025-04-30: lot=75 need=54 fetched=54 missing=0
2025-05-08: lot=75 need=44 fetched=44 missing=0
2025-05-15: lot=75 need=76 fetched=76 missing=0
2025-05-22: lot=75 need=52 fetched=52 missing=0
2025-05-29: lot=75 need=46 fetched=46 missing=0
2025-06-05: lot=75 need=42 fetched=42 missing=0
2025-06-12: lot=75 need=50 fetched=50 missing=0
2025-06-19: lot=75 need=48 fetched=48 missing=0
2025-06-26: lot=75 need=60 fetched=60 missing=0
2025-07-03: lot=75 need=40 fetched=40 missing=0
2025-07-10: lot=75 need=36 fetched=36 missing=0
2025-07-17: lot=75 need=40 fetched=40 missing=0
2025-07-24: lot=75 need=42 fetched=42 missing=0
2025-07-31: lot=75 need=46 fetched=46 missing=0
2025-08-07: lot=75 need=46 fetched=46 missing=0
2025-08-14: lot=75 need=44 fetched=44 missing=0
2025-08-21: lot=75 need=40 fetched=40 missing=0
2025-08-28: lot=75 need=52 fetched=52 missing=0
2025-09-02: lot=75 need=42 fetched=42 missing=0
2025-09-09: lot=75 need=46 fetched=46 missing=0
2025-09-16: lot=75 need=42 fetched=42 missing=0
2025-09-23: lot=75 need=42 fetched=42 missing=0
2025-09-30: lot=75 need=50 fetched=50 missing=0
2025-10-07: lot=75 need=52 fetched=52 missing=0
2025-10-14: lot=75 need=40 fetched=40 missing=0
2025-10-20: lot=75 need=58 fetched=58 missing=0
2025-10-28: lot=75 need=44 fetched=44 missing=0
2025-11-04: lot=75 need=48 fetched=48 missing=0
2025-11-11: lot=75 need=44 fetched=44 missing=0
2025-11-18: lot=75 need=40 fetched=40 missing=0
2025-11-25: lot=75 need=42 fetched=42 missing=0
2025-12-02: lot=75 need=48 fetched=48 missing=0
2025-12-09: lot=75 need=48 fetched=48 missing=0
2025-12-16: lot=75 need=44 fetched=44 missing=0
2025-12-23: lot=75 need=48 fetched=48 missing=0
2025-12-30: lot=75 need=42 fetched=42 missing=0
2026-01-06: lot=65 need=44 fetched=44 missing=0
2026-01-13: lot=65 need=56 fetched=56 missing=0
2026-01-20: lot=65 need=56 fetched=56 missing=0
2026-01-27: lot=65 need=48 fetched=48 missing=0
2026-02-03: lot=65 need=98 fetched=98 missing=0
2026-02-10: lot=65 need=48 fetched=48 missing=0
2026-02-17: lot=65 need=54 fetched=54 missing=0
2026-02-24: lot=65 need=50 fetched=50 missing=0
2026-03-02: lot=65 need=70 fetched=70 missing=0
2026-03-10: lot=65 need=76 fetched=76 missing=0
2026-03-17: lot=65 need=80 fetched=80 missing=0
2026-03-24: lot=65 need=84 fetched=84 missing=0
2026-03-30: lot=65 need=76 fetched=76 missing=0
2026-04-07: lot=65 need=68 fetched=68 missing=0
2026-04-13: lot=65 need=48 fetched=48 missing=0
2026-04-21: lot=65 need=50 fetched=50 missing=0
2026-04-28: lot=65 need=56 fetched=56 missing=0
2026-05-05: lot=65 need=50 fetched=50 missing=0
2026-05-12: lot=65 need=74 fetched=74 missing=0
2026-05-19: lot=65 need=50 fetched=50 missing=0
2026-05-26: lot=65 need=56 fetched=56 missing=0
2026-06-02: lot=65 need=60 fetched=60 missing=0
2026-06-09: lot=65 need=46 fetched=46 missing=0
2026-06-16: lot=65 need=66 fetched=66 missing=0
2026-06-23: lot=65 need=44 fetched=44 missing=0
2026-06-30: lot=65 need=48 fetched=48 missing=0
2026-07-07: lot=65 need=54 fetched=54 missing=0
DONE
