date,contract,side,lots,entry_ts,entry,stop,exit_ts,exit,exit_reason,move_pct,gross_pnl,charges,net_pnl,margin_blocked,margin_product,entry_tenkan,entry_kijun,entry_cci
2026-09-14,GOLDM26OCTFUT,SHORT,1,2026-09-14 17:10:06,151154.0,152665.5,2026-09-14 22:59:33,151350.0,square_off,-0.13,-1960,327,-2287,141277,MIS,151749.5,152075.5,-165.1
2026-09-15,GOLDM26OCTFUT,SHORT,1,2026-09-15 13:40:23,150397.0,151901.0,2026-09-15 22:59:33,150837.0,square_off,-0.293,-4400,326,-4726,139910,MIS,150808.5,151036.5,-82.6
2026-09-16,GOLDM26OCTFUT,LONG,1,2026-09-16 18:20:22,152450.0,150925.5,2026-09-16 22:59:33,152444.0,square_off,-0.004,-60,329,-389,139816,MIS,152380.0,152138.0,88.9
2026-09-17,GOLDM26OCTFUT,LONG,1,2026-09-17 17:40:24,152750.0,151222.5,2026-09-17 22:59:30,153062.0,square_off,0.204,3120,330,2790,141201,MIS,152067.5,151596.5,99.1
2026-09-18,GOLDM26OCTFUT,LONG,1,2026-09-18 09:20:20,153112.0,151580.9,2026-09-18 22:59:30,154248.0,square_off,0.742,11360,332,11028,141640,MIS,152958.5,152499.0,80.7
2026-09-21,GOLDM26OCTFUT,SHORT,1,2026-09-21 15:10:23,153421.0,154955.2,2026-09-21 19:00:22,153908.0,reverse,-0.317,-4870,331,-5201,142752,MIS,153543.5,153658.5,-96.1
2026-09-21,GOLDM26OCTFUT,LONG,1,2026-09-21 19:00:22,153908.0,152368.9,2026-09-21 21:20:24,153384.0,reverse,-0.34,-5240,331,-5571,142825,MIS,153828.5,153768.0,84.6
2026-09-21,GOLDM26OCTFUT,SHORT,1,2026-09-21 21:20:24,153384.0,154917.8,2026-09-21 22:59:32,153380.0,square_off,0.003,40,331,-291,142743,MIS,153539.5,153588.5,-84.9
2026-09-22,GOLDM26OCTFUT,SHORT,1,2026-09-22 10:50:22,153124.0,154655.2,2026-09-22 22:59:34,152570.0,square_off,0.362,5540,330,5210,141682,MIS,153257.0,153588.5,-117.5
2026-09-25,GOLDM26NOVFUT,LONG,1,2026-09-25 13:50:21,152238.0,150715.6,2026-09-25 22:59:33,152436.0,square_off,0.13,1980,329,1651,140540,MIS,151961.0,151934.0,93.9
