entry_ts,exit_ts,type,short_strike,long_strike,lot,credit,margin,exit_reason,gross_pnl,charges,net_pnl,ret_on_margin_%
2026-01-02 10:19:00,2026-01-05 15:16:00,bull_put,26250,25850,65,57.35,22272.25,TIME,-377.0,102.53,-479.53,-2.15
2026-01-06 10:20:00,2026-01-06 15:16:00,bear_call,26250,26650,65,27.25,24228.75,TIME,1764.75,96.99,1667.76,6.88
2026-01-07 10:16:00,2026-01-08 09:27:00,bull_put,26200,25800,65,86.3,20390.5,SL,-3341.0,109.23,-3450.23,-16.92
2026-01-08 10:20:00,2026-01-09 15:16:00,bear_call,26050,26450,65,90.8,20098.0,TIME,5125.25,104.44,5020.81,24.98
2026-01-12 10:17:00,2026-01-12 12:22:00,bear_call,25550,25950,65,88.5,20247.5,SL,-4683.25,109.47,-4792.72,-23.67
2026-01-12 12:28:00,2026-01-13 15:16:00,bull_put,25700,25300,65,79.6,20826.0,TIME,5167.5,102.83,5064.67,24.32
2026-01-14 10:19:00,2026-01-14 11:31:00,bear_call,25700,26100,65,111.9,18726.5,SL,-2817.75,115.55,-2933.3,-15.66
2026-01-14 11:50:00,2026-01-14 13:38:00,bull_put,25800,25400,65,96.3,19740.5,SL,-3077.75,114.49,-3192.24,-16.17
2026-01-14 13:44:00,2026-01-16 09:49:00,bear_call,25650,26050,65,116.4,18434.0,SL,-2821.0,114.59,-2935.59,-15.92
2026-01-16 10:29:00,2026-01-16 12:29:00,bull_put,25850,25450,65,74.05,21186.75,SL,-3399.5,108.68,-3508.18,-16.56
2026-01-16 12:52:00,2026-01-19 15:16:00,bear_call,25750,26150,65,103.3,19285.5,TIME,5898.75,105.69,5793.06,30.04
2026-01-20 10:19:00,2026-01-20 13:37:00,bull_put,25500,25100,65,57.25,22278.75,SL,-4033.25,103.38,-4136.63,-18.57
2026-01-20 14:04:00,2026-01-20 15:16:00,bear_call,25350,25750,65,32.8,23868.0,TIME,2115.75,97.62,2018.13,8.46
2026-01-21 10:19:00,2026-01-21 12:42:00,bear_call,25150,25550,65,141.1,16828.5,SL,-2964.0,124.17,-3088.17,-18.35
2026-01-21 12:44:00,2026-01-21 14:29:00,bull_put,25250,24850,65,98.8,19578.0,SL,-3074.5,121.95,-3196.45,-16.33
2026-01-22 10:20:00,2026-01-23 15:16:00,bear_call,25350,25750,65,121.9,18076.5,TIME,6318.0,110.05,6207.95,34.34
2026-01-27 10:16:00,2026-01-27 10:43:00,bull_put,25150,24750,65,75.55,21089.25,SL,-3334.5,106.55,-3441.05,-16.32
2026-01-27 10:54:00,2026-01-27 11:31:00,bear_call,25000,25400,65,67.7,21599.5,SL,-3324.75,104.93,-3429.68,-15.88
2026-01-27 11:40:00,2026-01-27 15:16:00,bull_put,25100,24700,65,64.15,21830.25,TIME,4156.75,100.58,4056.17,18.58
2026-01-28 10:24:00,2026-01-29 15:16:00,bull_put,25300,24900,65,132.1,17413.5,TIME,3311.75,125.37,3186.38,18.3
2026-01-30 10:21:00,2026-02-01 11:11:00,bear_call,25300,25700,65,135.45,17195.75,SL,-2574.0,131.19,-2705.19,-15.73
2026-02-01 11:16:00,2026-02-02 15:16:00,bear_call,25400,25800,65,137.4,17069.0,TIME,8398.0,115.69,8282.31,48.52
2026-02-03 10:17:00,2026-02-03 15:16:00,bull_put,25750,25350,65,105.8,19123.0,TIME,5567.25,106.05,5461.2,28.56
2026-02-04 10:20:00,2026-02-05 15:16:00,bear_call,25750,26150,65,137.05,17091.75,TIME,4078.75,116.7,3962.05,23.18
2026-02-06 10:19:00,2026-02-09 15:16:00,bull_put,25550,25150,65,90.3,20130.5,TIME,5385.25,105.81,5279.44,26.23
2026-02-10 10:17:00,2026-02-10 15:16:00,bull_put,25950,25550,65,34.4,23764.0,TIME,1417.0,98.34,1318.66,5.55
2026-02-11 10:18:00,2026-02-12 11:32:00,bull_put,25950,25550,65,90.3,20130.5,SL,-3068.0,113.06,-3181.06,-15.8
2026-02-12 11:35:00,2026-02-13 15:16:00,bear_call,25800,26200,65,123.5,17972.5,TIME,6802.25,109.48,6692.77,37.24
2026-02-16 10:51:00,2026-02-16 14:29:00,bear_call,25500,25900,65,92.35,19997.25,SL,-3415.75,109.77,-3525.52,-17.63
2026-02-17 10:21:00,2026-02-17 15:16:00,bull_put,25700,25300,65,50.6,22711.0,TIME,3282.5,99.35,3183.15,14.02
2026-02-18 10:17:00,2026-02-18 13:24:00,bear_call,25650,26050,65,125.9,17816.5,SL,-2730.0,118.11,-2848.11,-15.99
2026-02-18 13:26:00,2026-02-18 15:01:00,bear_call,25750,26150,65,110.6,18811.0,SL,-3061.5,115.03,-3176.53,-16.89
