date,expiry,type,entry_ts,atm,lot,short_strike,long_strike,credit,margin,alpha,alpha2,spot_entry,exit_ts,exit_reason,exit_cost_to_close,gross_pnl,charges,net_pnl
2026-07-01,2026-07-07,bull_put,2026-07-01 10:18:00,24000,65,24000,23600,113.30000000000001,18635.5,0.8924050632911392,0.9932203389830508,23996.1,2026-07-01 15:16:00,EOD,102.70000000000002,688.9999999999997,115.029145589,573.9708544109997
2026-07-02,2026-07-07,bull_put,2026-07-02 10:22:00,24100,65,24100,23700,99.15,19555.25,0.9341772151898734,0.8677966101694915,24098.6,2026-07-02 15:16:00,EOD,63.95,2288.0,108.940981533,2179.059018467
2026-07-03,2026-07-07,bear_call,2026-07-03 10:17:00,24300,65,24300,24700,112.80000000000001,18668.0,0.06835443037974684,0.05084745762711865,24322.7,2026-07-03 15:16:00,EOD,72.0,2652.000000000001,108.25956165099998,2543.740438349001
2026-07-06,2026-07-07,bull_put,2026-07-06 10:19:00,24400,65,24400,24000,73.05,21251.75,0.9151898734177215,0.9186440677966101,24385.55,2026-07-06 15:16:00,EOD,47.89999999999999,1634.7500000000005,103.7271377875,1531.0228622125005
2026-07-07,2026-07-07,bull_put,2026-07-07 10:22:00,24500,65,24500,24100,41.05,23331.75,0.8265822784810126,0.8440677966101695,24498.95,2026-07-07 15:16:00,EOD,92.65,-3354.0000000000005,101.12331392200001,-3455.1233139220003
2026-07-08,2026-07-14,bear_call,2026-07-08 10:16:00,24250,65,24250,24650,105.0,19175.0,0.03164556962025317,0.013559322033898305,24232.05,2026-07-08 15:16:00,EOD,45.3,3880.5,109.29644803399998,3771.203551966
2026-07-09,2026-07-14,bull_put,2026-07-09 10:25:00,24050,65,24050,23650,107.95,18983.25,0.9658227848101266,0.9254237288135593,24055.35,2026-07-09 15:16:00,EOD,155.65,-3100.5,117.807303933,-3218.307303933
2026-07-10,2026-07-14,bear_call,2026-07-10 10:31:00,24200,65,24200,24600,101.0,19435.0,0.14050632911392405,0.04067796610169491,24195.1,2026-07-10 15:16:00,EOD,85.95,978.2499999999998,108.0610529575,870.1889470424998
2026-07-13,2026-07-14,bull_put,2026-07-13 10:23:00,24100,65,24100,23700,84.75,20491.25,0.889873417721519,0.8372881355932204,24121.7,2026-07-13 15:16:00,EOD,39.25,2957.5,105.39278562199999,2852.107214378
2026-07-14,2026-07-14,bear_call,2026-07-14 10:16:00,24100,65,24100,24500,37.50000000000001,23562.5,0.07215189873417721,0.1288135593220339,24080.65,2026-07-14 15:16:00,EOD,0.10000000000000002,2431.0000000000005,97.983739458,2333.0162605420005
2026-07-15,2026-07-21,bull_put,2026-07-15 10:17:00,24200,65,24200,23800,114.75,18541.25,0.8582278481012658,1.0,24205.4,2026-07-15 12:57:00,SL,191.10000000000002,-4962.750000000002,125.7646631545,-5088.514663154502
2026-07-15,2026-07-21,bull_put,2026-07-15 13:02:00,24050,65,24050,23650,128.34999999999997,17657.250000000004,0.9759493670886076,0.9525423728813559,24065.5,2026-07-15 15:16:00,EOD,119.44999999999999,578.4999999999985,119.42244374500001,459.0775562549985
2026-07-16,2026-07-21,bull_put,2026-07-16 10:16:00,24150,65,24150,23750,109.5,18882.5,0.8924050632911392,0.8338983050847457,24130.35,2026-07-16 15:16:00,EOD,135.6,-1696.4999999999995,115.29204127399998,-1811.7920412739995
