date,expiry,type,entry_ts,atm,lot,short_strike,long_strike,credit,margin,alpha,alpha2,spot_entry,exit_ts,exit_reason,exit_cost_to_close,gross_pnl,charges,net_pnl
2024-09-27,2024-10-03,bull_put,2024-09-27 10:31:00,26250,25,26250,25850,90.8,7730.0,0.8329113924050633,0.9627118644067797,26273.45,2024-09-30 09:16:00,SL,139.70000000000002,-1222.5000000000005,102.138035975,-1324.6380359750005
2024-09-30,2024-10-03,bull_put,2024-09-30 10:28:00,26000,25,26000,25600,86.5,7837.5,0.8848101265822785,0.8203389830508474,25994.5,2024-09-30 11:26:00,SL,120.55000000000001,-851.2500000000002,101.1317744575,-952.3817744575002
2024-09-30,2024-10-03,bear_call,2024-09-30 11:33:00,25900,25,25900,26300,121.89999999999999,6952.500000000001,0.1911392405063291,0.17288135593220338,25901.05,2024-10-01 15:16:00,TIME,37.65,2106.25,100.24929846250001,2006.0007015375
2024-10-03,2024-10-03,bear_call,2024-10-03 10:17:00,25500,25,25500,25900,62.55,8436.25,0.15063291139240506,0.17966101694915254,25517.8,2024-10-03 15:16:00,TIME,0.15000000000000002,1560.0,96.753074645,1463.246925355
2024-10-04,2024-10-10,bear_call,2024-10-04 10:20:00,25200,25,25200,25600,161.59999999999997,5960.000000000001,0.0189873417721519,0.010169491525423728,25176.05,2024-10-04 10:44:00,SL,189.15000000000003,-688.7500000000017,107.22467193749999,-795.9746719375017
2024-10-04,2024-10-10,bull_put,2024-10-04 10:52:00,25350,25,25350,24950,106.96,7326.000000000001,0.8987341772151899,0.9728813559322034,25325.5,2024-10-04 12:44:00,SL,145.0,-951.0000000000001,107.55969146899999,-1058.5596914690002
2024-10-04,2024-10-10,bear_call,2024-10-04 13:00:00,25100,25,25100,25500,179.81,5504.75,0.02911392405063291,0.1152542372881356,25117.25,2024-10-07 15:16:00,TIME,52.74,3176.75,105.57604081049999,3071.1739591895002
2024-10-08,2024-10-10,bull_put,2024-10-08 10:21:00,24850,25,24850,24450,113.5,7162.5,0.9063291139240506,0.8271186440677966,24854.4,2024-10-09 15:16:00,TIME,41.15,1808.7499999999998,101.4110062325,1707.3389937674997
2024-10-10,2024-10-10,bear_call,2024-10-10 10:21:00,25100,25,25100,25500,39.14,9021.5,0.024050632911392405,0.11186440677966102,25095.15,2024-10-10 15:16:00,TIME,0.10000000000000002,976.0,95.850300234,880.149699766
2024-10-11,2024-10-17,bear_call,2024-10-11 10:16:00,25000,25,25000,25400,142.45999999999998,6438.500000000001,0.14430379746835442,0.006779661016949152,25009.15,2024-10-14 09:46:00,SL,169.60000000000002,-678.5000000000011,104.252578169,-782.7525781690011
2024-10-14,2024-10-17,bear_call,2024-10-14 10:21:00,25100,25,25100,25500,117.55,7061.25,0.07974683544303797,0.13898305084745763,25094.5,2024-10-15 09:20:00,SL,146.4,-721.2500000000002,101.5062183475,-822.7562183475002
2024-10-15,2024-10-17,bear_call,2024-10-15 10:30:00,25050,25,25050,25450,89.2,7770.0,0.008860759493670886,0.030508474576271188,25033.2,2024-10-16 15:16:00,TIME,36.8,1310.0000000000002,98.49321648000002,1211.5067835200002
2024-10-17,2024-10-17,bull_put,2024-10-17 10:16:00,24850,25,24850,24450,37.34,9066.5,0.9544303797468354,0.8169491525423729,24842.4,2024-10-17 11:29:00,SL,76.95,-990.25,96.6569739965,-1086.9069739965
2024-10-17,2024-10-17,bull_put,2024-10-17 11:38:00,24800,25,24800,24400,31.790000000000003,9205.25,0.8177215189873418,0.8067796610169492,24792.65,2024-10-17 15:16:00,TIME,44.65,-321.4999999999999,96.05526949899999,-417.5552694989999
