date,expiry,type,entry_ts,atm,lot,short_strike,long_strike,credit,margin,alpha,alpha2,spot_entry,exit_ts,exit_reason,exit_cost_to_close,gross_pnl,charges,net_pnl
2024-09-27,2024-10-03,bull_put,2024-09-27 10:31:00,26250,25,26250,25850,90.8,7730.0,0.8329113924050633,0.9627118644067797,26273.45,2024-09-30 09:16:00,SL,139.70000000000002,-1222.5000000000005,102.138035975,-1324.6380359750005
2024-09-30,2024-10-03,bull_put,2024-09-30 10:28:00,26000,25,26000,25600,86.5,7837.5,0.8848101265822785,0.8745762711864407,25994.5,2024-09-30 12:53:00,SL,136.45000000000002,-1248.7500000000005,101.3944586175,-1350.1444586175005
2024-09-30,2024-10-03,bear_call,2024-09-30 12:53:00,25900,25,25900,26300,110.85,7228.749999999999,0.07341772151898734,0.01694915254237288,25888.75,2024-10-01 15:01:00,TIME,35.8,1876.25,99.8007923875,1776.4492076125
2024-10-01,2024-10-03,bull_put,2024-10-01 10:25:00,25800,25,25800,25400,75.85,8103.749999999999,0.9113924050632911,0.8101694915254237,25814.15,2024-10-03 09:16:00,SL,214.40000000000003,-3463.750000000001,101.99334481749999,-3565.743344817501
2024-10-03,2024-10-03,bear_call,2024-10-03 11:17:00,25450,25,25450,25850,64.34,8391.5,0.0810126582278481,0.19661016949152543,25471.9,2024-10-03 15:01:00,TIME,0.25000000000000006,1602.25,96.85466773650002,1505.3953322635
2024-10-04,2024-10-10,bear_call,2024-10-04 10:20:00,25200,25,25200,25600,161.59999999999997,5960.000000000001,0.0189873417721519,0.07796610169491526,25176.05,2024-10-04 10:46:00,SL,207.35000000000002,-1143.7500000000014,108.07760870749999,-1251.8276087075014
2024-10-04,2024-10-10,bull_put,2024-10-04 10:52:00,25350,25,25350,24950,106.96,7326.000000000001,0.8987341772151899,0.8576271186440678,25325.5,2024-10-04 12:48:00,SL,152.70000000000005,-1143.5000000000014,107.91250528900001,-1251.4125052890013
2024-10-07,2024-10-10,bull_put,2024-10-07 10:19:00,25100,25,25100,24700,107.95,7301.25,0.8189873417721519,0.9389830508474576,25076.55,2024-10-07 10:46:00,SL,156.95,-1224.9999999999995,106.751959785,-1331.7519597849996
2024-10-07,2024-10-10,bull_put,2024-10-07 10:59:00,24900,25,24900,24500,106.24999999999999,7343.75,0.8113924050632911,0.9186440677966101,24909.05,2024-10-07 13:24:00,SL,150.55,-1107.5000000000007,107.05992146499999,-1214.5599214650006
2024-10-04,2024-10-10,bear_call,2024-10-04 13:00:00,25100,25,25100,25500,179.81,5504.75,0.02911392405063291,0.05423728813559322,25117.25,2024-10-07 15:01:00,TIME,61.95,2946.5,105.77831966900001,2840.721680331
2024-10-08,2024-10-10,bear_call,2024-10-08 10:49:00,24900,25,24900,25300,138.2,6545.0,0.13164556962025317,0.19661016949152543,24909.7,2024-10-08 13:49:00,SL,178.90000000000003,-1017.5000000000011,104.273140435,-1121.773140435001
2024-10-07,2024-10-10,bull_put,2024-10-07 13:29:00,24800,25,24800,24400,106.4,7340.000000000001,0.9329113924050633,0.9796610169491525,24806.85,2024-10-08 15:01:00,TIME,56.14,1256.5000000000002,102.44428019899999,1154.0557198010001
2024-10-10,2024-10-10,bull_put,2024-10-10 10:32:00,25100,25,25100,24700,52.65,8683.75,0.8189873417721519,0.864406779661017,25109.55,2024-10-10 11:14:00,SL,103.55,-1272.5,97.58230772499999,-1370.082307725
2024-10-09,2024-10-10,bear_call,2024-10-09 10:17:00,25150,25,25150,25550,97.35,7566.249999999999,0.1569620253164557,0.13559322033898305,25134.5,2024-10-10 15:01:00,TIME,0.35,2425.0,98.4112037,2326.5887963
2024-10-10,2024-10-10,bull_put,2024-10-10 11:46:00,25000,25,25000,24600,32.59,9185.25,0.8670886075949367,0.8677966101694915,25018.95,2024-10-10 15:01:00,TIME,3.1999999999999997,734.7500000000001,95.6252356565,639.1247643435001
2024-10-11,2024-10-17,bull_put,2024-10-11 10:47:00,25000,25,25000,24600,114.0,7150.0,0.8607594936708861,0.8338983050847457,24978.5,2024-10-14 15:01:00,TIME,52.9,1527.5,101.366391465,1426.133608535
2024-10-14,2024-10-17,bear_call,2024-10-14 10:20:00,25100,25,25100,25500,112.4,7190.000000000001,0.14050632911392405,0.1423728813559322,25088.55,2024-10-15 15:01:00,TIME,53.65,1468.7500000000002,99.8239192125,1368.9260807875003
2024-10-15,2024-10-17,bull_put,2024-10-15 10:17:00,25050,25,25050,24650,94.45,7638.75,0.8708860759493671,0.8915254237288136,25071.9,2024-10-16 11:41:00,SL,145.8,-1283.7500000000002,100.5873797175,-1384.3373797175002
2024-10-17,2024-10-17,bull_put,2024-10-17 10:16:00,24850,25,24850,24450,37.34,9066.5,0.9544303797468354,0.888135593220339,24842.4,2024-10-17 13:28:00,SL,98.25,-1522.75,96.87742150650001,-1619.6274215065
2024-10-16,2024-10-17,bear_call,2024-10-16 10:23:00,25050,25,25050,25450,82.0,7950.0,0.053164556962025315,0.04745762711864407,25049.9,2024-10-17 15:01:00,TIME,0.19999999999999996,2045.0,97.518134025,1947.481865975
2024-10-17,2024-10-17,bull_put,2024-10-17 13:33:00,24750,25,24750,24350,11.85,9703.75,0.8240506329113924,0.8779661016949153,24769.05,2024-10-17 15:01:00,TIME,3.0999999999999996,218.75,94.87906926749999,123.87093073250001
2024-10-18,2024-10-24,bull_put,2024-10-18 10:16:00,24700,25,24700,24300,104.29999999999998,7392.500000000001,0.9227848101265823,0.9491525423728814,24678.65,2024-10-21 15:01:00,TIME,68.80000000000001,887.4999999999993,101.36506152,786.1349384799993
2024-10-22,2024-10-24,bull_put,2024-10-22 10:35:00,24700,25,24700,24300,104.95,7376.25,0.9860759493670886,0.9593220338983051,24691.95,2024-10-22 13:24:00,SL,149.95,-1124.9999999999995,102.162085125,-1227.1620851249995
2024-10-21,2024-10-24,bear_call,2024-10-21 10:32:00,24800,25,24800,25200,108.0,7300.0,0.06835443037974684,0.1864406779661017,24801.9,2024-10-22 15:01:00,TIME,24.3,2092.5,99.40721103,1993.09278897
2024-10-22,2024-10-24,bull_put,2024-10-22 13:31:00,24600,25,24600,24200,99.80000000000001,7505.0,0.8240506329113924,0.8847457627118644,24595.6,2024-10-22 15:04:00,SL,146.55,-1168.75,101.84690124750003,-1270.5969012475
2024-10-23,2024-10-24,bull_put,2024-10-23 10:17:00,24550,25,24550,24150,87.45,7813.75,0.8481012658227848,0.8372881355932204,24533.05,2024-10-23 14:24:00,SL,143.9,-1411.25,100.75792571749999,-1512.0079257175
2024-10-24,2024-10-24,bear_call,2024-10-24 10:19:00,24450,25,24450,24850,23.56,9411.0,0.18734177215189873,0.11864406779661017,24426.75,2024-10-24 15:01:00,TIME,0.35000000000000003,580.2499999999999,95.29700514150002,484.9529948584999
2024-10-25,2024-10-31,bull_put,2024-10-25 10:19:00,24250,25,24250,23850,111.1,7222.499999999999,0.8227848101265823,0.8305084745762712,24248.4,2024-10-25 12:16:00,SL,156.55,-1136.2500000000005,105.5041131925,-1241.7541131925004
2024-10-25,2024-10-31,bear_call,2024-10-25 12:17:00,24150,25,24150,24550,122.64999999999999,6933.750000000001,0.10506329113924051,0.08135593220338982,24125.45,2024-10-28 09:16:00,SL,170.3,-1191.2500000000005,103.62301786249999,-1294.8730178625005
2024-10-28,2024-10-31,bull_put,2024-10-28 10:25:00,24400,25,24400,24000,100.99999999999999,7475.0,0.9417721518987342,0.8983050847457628,24389.25,2024-10-29 09:29:00,SL,151.65,-1266.2500000000005,102.64781352250002,-1368.8978135225004
2024-10-30,2024-10-31,bear_call,2024-10-30 10:24:00,24400,25,24400,24800,97.15,7571.250000000001,0.1291139240506329,0.09830508474576272,24407.65,2024-10-30 13:07:00,SL,141.75000000000003,-1115.0000000000005,99.973234885,-1214.9732348850005
2024-10-29,2024-10-31,bull_put,2024-10-29 10:24:00,24200,25,24200,23800,80.8,7980.0,0.8278481012658228,0.8406779661016949,24220.25,2024-10-30 15:01:00,TIME,19.950000000000003,1521.2499999999998,98.30170760250002,1422.9482923974997
2024-10-30,2024-10-31,bear_call,2024-10-30 13:11:00,24450,25,24450,24850,83.35,7916.249999999999,0.06835443037974684,0.01694915254237288,24444.85,2024-10-31 15:01:00,TIME,0.3,2076.25,97.4879754925,1978.7620245075
2024-10-31,2024-10-31,bull_put,2024-10-31 10:26:00,24250,25,24250,23850,20.349999999999998,9491.25,0.8708860759493671,0.9050847457627119,24273.9,2024-10-31 15:01:00,TIME,54.1,-843.75,95.7789722825,-939.5289722825
