date,expiry,type,entry_ts,atm,lot,short_strike,long_strike,credit,margin,spot_entry,exit_ts,exit_reason,gross_pnl,charges,net_pnl
2024-09-27,2024-10-03,bull_put,2024-09-27 10:31:00,26250,25,26250,25850,90.8,7730.0,26273.45,2024-09-30 09:16:00,SL,-1222.5000000000005,102.138035975,-1324.6380359750005
2024-09-30,2024-10-03,bull_put,2024-09-30 10:28:00,26000,25,26000,25600,86.5,7837.5,25994.5,2024-09-30 12:53:00,SL,-1248.7500000000005,101.3944586175,-1350.1444586175005
2024-09-30,2024-10-03,bear_call,2024-09-30 13:08:00,25900,25,25900,26300,102.55000000000001,7436.25,25875.15,2024-10-01 15:16:00,TIME,1622.5000000000002,99.51854094,1522.9814590600001
2024-10-03,2024-10-03,bear_call,2024-10-03 11:17:00,25450,25,25450,25850,64.34,8391.5,25471.9,2024-10-03 15:16:00,TIME,1604.75,96.8396133915,1507.9103866085
2024-10-04,2024-10-10,bear_call,2024-10-04 10:20:00,25200,25,25200,25600,161.59999999999997,5960.000000000001,25176.05,2024-10-04 10:46:00,SL,-1143.7500000000014,108.07760870749999,-1251.8276087075014
2024-10-04,2024-10-10,bull_put,2024-10-04 10:52:00,25350,25,25350,24950,106.96,7326.000000000001,25325.5,2024-10-04 12:48:00,SL,-1143.5000000000014,107.91250528900001,-1251.4125052890013
2024-10-04,2024-10-10,bear_call,2024-10-04 13:00:00,25100,25,25100,25500,179.81,5504.75,25117.25,2024-10-07 15:16:00,TIME,3176.75,105.57604081049999,3071.1739591895002
2024-10-08,2024-10-10,bull_put,2024-10-08 10:21:00,24850,25,24850,24450,113.5,7162.5,24854.4,2024-10-09 15:16:00,TIME,1808.7499999999998,101.4110062325,1707.3389937674997
2024-10-10,2024-10-10,bear_call,2024-10-10 10:21:00,25100,25,25100,25500,39.14,9021.5,25095.15,2024-10-10 15:16:00,TIME,976.0,95.850300234,880.149699766
2024-10-11,2024-10-17,bull_put,2024-10-11 10:47:00,25000,25,25000,24600,114.0,7150.0,24978.5,2024-10-14 15:16:00,TIME,1566.2500000000002,101.3514896075,1464.8985103925002
2024-10-15,2024-10-17,bull_put,2024-10-15 10:17:00,25050,25,25050,24650,94.45,7638.75,25071.9,2024-10-16 11:41:00,SL,-1283.7500000000002,100.5873797175,-1384.3373797175002
2024-10-16,2024-10-17,bear_call,2024-10-16 11:49:00,24900,25,24900,25300,85.65,7858.750000000001,24911.2,2024-10-16 14:05:00,SL,-1187.5,99.622030825,-1287.122030825
2024-10-16,2024-10-17,bull_put,2024-10-16 14:10:00,25000,25,25000,24600,53.7,8657.5,25020.5,2024-10-17 09:35:00,SL,-1598.7499999999998,97.8644432075,-1696.6144432074998
